,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
511,17.0841784,0,20,0,0,0,-950,-910,-950,-920,0
533,17.8343284,0,20,1,0,0,-950,-910,-950,-920,1
566,18.9356784,0,20,1,0,0,-950,-910,-950,-920,0
974,32.5841984,1,20,1,0,0,-950,-910,-950,-920,0
1225,40.977548399999996,1,19,1,0,0,-950,-910,-950,-920,0
1248,41.7479284,1,19,1,0,0,-950,-910,-950,-920,1
1271,42.5191084,1,19,1,0,0,-950,-910,-950,-920,0
1670,55.8734684,1,20,1,0,0,-950,-910,-950,-920,0
1757,58.7831884,1,20,2,0,0,-950,-910,-950,-920,2
1837,61.4606484,1,20,2,0,0,-950,-910,-950,-920,0
1882,62.9650984,1,18,2,0,0,-950,-910,-950,-920,0
1914,64.0384284,1,18,1,0,0,-950,-910,-950,-920,1
1978,66.17706840000001,1,18,1,0,0,-950,-910,-950,-920,0
